page_latest_low,page_latest_high,page_len_low,page_len_high,num_rows
4081472,6266782,31713,671409,1120,
3973931,5990187,176256,1066879,38,
127606,2340966,5606,976343,1394,
560614,4496284,212417,927012,6,
2832681,3583887,481097,1484684,0,
2112300,3350929,572630,872558,0,
2110617,4992819,1005819,1471568,0,
2360720,4235255,155307,1080803,3,
3812792,5642132,47972,156817,287,
2998845,3596482,267115,1528928,0,
5342877,5495147,260338,1252305,4,
773886,2294313,1422520,1543316,0,
1164078,4464648,244277,1495010,3,
2455211,3875274,138302,1143591,4,
3372686,4225624,969421,1361606,0,
4076398,4761844,81003,1085172,62,
1281112,3313905,214467,1235308,1,
1774770,2637570,235278,1093099,1,
1998399,3073306,902835,929618,0,
838043,5906668,1041100,1042048,0,
1010261,4730969,251083,917083,4,
5877230,5981466,892499,1561361,0,
559212,2075059,473384,1028101,0,
4784782,4888831,423314,1204378,1,
4044075,6395564,228601,703378,25,
693004,3773692,3588,1513066,5152,
189427,6277565,872032,1249224,0,
2590243,2678034,1156457,1308347,0,
403913,2547875,267039,1398540,3,
2571519,2732063,599588,1247026,0,
1305404,1334414,76867,1186770,1,
2307860,5633304,908664,1499148,0,
582786,4151658,279595,657500,2,
2687375,4388188,503520,940166,0,
1096842,2274235,234212,1202714,1,
558524,3111084,1135966,1493048,0,
282509,4165553,664607,1091080,0,
367714,1907955,46370,556871,76,
4918917,6016735,244073,1492878,16,
1547551,4437982,1082868,1197539,0,
749842,4572258,107490,976751,54,
596635,1622458,974602,1036882,0,
3019300,5438720,87882,561879,116,
688138,4195958,574722,1169369,0,
140723,710037,610086,862247,0,
2817461,5968804,403369,1473908,7,
2801488,4194858,1068879,1204004,0,
4823876,5717560,445106,1163566,3,
2245588,4151415,393453,722358,1,
1957046,4883787,662595,1411290,0,
93407,2024863,632704,1142281,0,
2347206,3099093,622144,1163856,0,
2677569,4399298,571765,1017452,0,
3268743,6208415,710652,1502905,1,
449179,5095535,48563,1272197,410,
3886516,4646067,662187,936520,0,
2198151,6173964,409565,497612,1,
4580404,5776335,605757,1003651,1,
850042,1143307,836396,908951,0,
2028847,6262571,360745,1138764,9,
3725053,5541344,357422,1457987,3,
2587546,3546615,95051,1071817,24,
2006244,5703268,97930,214900,162,
2712316,3831014,1376380,1463500,0,
2667297,5902872,95968,846203,182,
2888490,5872885,1326997,1356476,0,
3314767,3377706,285219,1552798,0,
790214,2664885,439962,1339239,1,
2624018,3597221,770834,1444518,0,
1294405,1618411,429967,931265,0,
2180491,5186946,32668,596750,577,
598104,4118821,153207,1117102,7,
1074403,3330492,217329,595738,2,
518550,3847932,212688,796068,3,
4242301,5851385,171880,1280519,39,
141297,2989615,847750,1235608,0,
3965422,5318206,505314,841740,1,
1092589,4933679,1386217,1560174,0,
1291282,5536146,682163,1389547,0,
4029183,5792648,645985,1315851,2,
1615783,4756695,87656,131594,114,
1296982,5706710,80976,984153,261,
60230,1178152,781104,1257131,0,
2799104,5069147,1118641,1460937,0,
111819,650209,288138,360644,0,
2579381,4802370,216458,741893,4,
674883,6176802,599758,1544040,2,
862794,2258204,1407510,1524780,0,
489511,6021565,41950,1527087,800,
931470,6348536,630146,838255,1,
3590917,5502543,62516,226183,192,
260869,6259057,116108,1443162,156,
3758471,5574264,606125,630621,0,
2161458,5547870,380995,1382960,4,
1943084,6409876,616198,1157304,2,
3830199,4994659,394369,589211,2,
550418,2811705,414360,637617,1,
606740,4768425,977071,1282338,0,
785945,6365926,1081336,1101962,0,
2813185,3398913,112020,816621,5,
4171079,5957235,658896,661070,1,
1154385,5112178,736664,1445515,0,
2728830,3179201,14783,1463483,105,
1296069,5726014,316219,949114,6,
4481253,4569029,217940,1400503,1,
1485669,3720717,353437,637100,1,
3704701,5482858,205310,838970,18,
4931475,6002620,167157,1425986,34,
1593509,4643409,1042763,1217691,0,
2361080,3114611,135808,596770,1,
4144865,6140589,1221,414925,97679,
3401868,4689636,151468,192758,7,
647041,4876781,604730,975196,1,
951681,4217365,391432,719288,1,
3550147,5483311,737635,1307121,0,
3862395,4500138,938373,972124,0,
538282,1580386,293796,691493,1,
320495,5073112,57188,207957,313,
815792,2127489,467180,621615,0,
184460,1763306,142193,443687,5,
2082998,6085632,390286,1204207,9,
3716701,4412582,200779,1300319,1,
4879422,6249885,144471,1089430,55,
5259500,5794737,997757,1032615,0,
5312152,5452207,605635,854465,0,
303709,6159001,321774,1213214,10,
4467283,5389543,403724,1298968,2,
1134449,3819779,963991,1038631,0,
1444884,1550072,422447,615867,0,
983563,2169156,229284,741848,2,
329072,5914195,688609,917638,1,
5439599,6268627,57523,614478,264,
2141048,2486219,157715,1558321,1,
5501968,6367258,1429358,1564090,0,
2478462,5947608,1197125,1505782,0,
1506082,2914923,73930,975655,75,
2920236,4477369,438810,1530953,1,
3388642,4390553,496166,802211,0,
321833,4092525,248169,1171269,5,
2199246,3104469,63950,445488,75,
2292320,5041855,1087075,1425252,0,
